LAST SEEN   TYPE      REASON                   OBJECT                                                             MESSAGE
4m14s       Normal    SuccessfulCreate         cronjob/elasticsearch-im-audit                                     Created job elasticsearch-im-audit-27238620
4m11s       Normal    SawCompletedJob          cronjob/elasticsearch-im-audit                                     Saw completed job: elasticsearch-im-audit-27238620, status: Complete
4m11s       Normal    SuccessfulDelete         cronjob/elasticsearch-im-audit                                     Deleted job elasticsearch-im-audit-27238605
10m         Normal    Scheduled                pod/elasticsearch-im-infra-27238605-wszxb                          Successfully assigned openshift-logging/elasticsearch-im-infra-27238605-wszxb to ocp-dgs4s-worker-b-6srxv
9m37s       Warning   DNSConfigForming         pod/elasticsearch-im-infra-27238605-wszxb                          Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
10m         Normal    AddedInterface           pod/elasticsearch-im-infra-27238605-wszxb                          Add eth0 [10.131.0.41/23] from openshift-sdn
10m         Normal    Pulling                  pod/elasticsearch-im-infra-27238605-wszxb                          Pulling image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4"
9m40s       Normal    Pulled                   pod/elasticsearch-im-infra-27238605-wszxb                          Successfully pulled image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" in 21.773174787s
9m39s       Normal    Created                  pod/elasticsearch-im-infra-27238605-wszxb                          Created container indexmanagement
9m39s       Normal    Started                  pod/elasticsearch-im-infra-27238605-wszxb                          Started container indexmanagement
10m         Normal    SuccessfulCreate         job/elasticsearch-im-infra-27238605                                Created pod: elasticsearch-im-infra-27238605-wszxb
9m38s       Normal    Completed                job/elasticsearch-im-infra-27238605                                Job completed
4m14s       Normal    Scheduled                pod/elasticsearch-im-infra-27238620-6hbrm                          Successfully assigned openshift-logging/elasticsearch-im-infra-27238620-6hbrm to ocp-dgs4s-worker-b-6srxv
4m10s       Warning   DNSConfigForming         pod/elasticsearch-im-infra-27238620-6hbrm                          Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
4m12s       Normal    AddedInterface           pod/elasticsearch-im-infra-27238620-6hbrm                          Add eth0 [10.131.0.48/23] from openshift-sdn
4m12s       Normal    Pulled                   pod/elasticsearch-im-infra-27238620-6hbrm                          Container image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" already present on machine
4m12s       Normal    Created                  pod/elasticsearch-im-infra-27238620-6hbrm                          Created container indexmanagement
4m12s       Normal    Started                  pod/elasticsearch-im-infra-27238620-6hbrm                          Started container indexmanagement
4m14s       Normal    SuccessfulCreate         job/elasticsearch-im-infra-27238620                                Created pod: elasticsearch-im-infra-27238620-6hbrm
4m11s       Normal    Completed                job/elasticsearch-im-infra-27238620                                Job completed
10m         Normal    SuccessfulCreate         cronjob/elasticsearch-im-infra                                     Created job elasticsearch-im-infra-27238605
9m38s       Normal    SawCompletedJob          cronjob/elasticsearch-im-infra                                     Saw completed job: elasticsearch-im-infra-27238605, status: Complete
4m14s       Normal    SuccessfulCreate         cronjob/elasticsearch-im-infra                                     Created job elasticsearch-im-infra-27238620
4m11s       Normal    SawCompletedJob          cronjob/elasticsearch-im-infra                                     Saw completed job: elasticsearch-im-infra-27238620, status: Complete
4m11s       Normal    SuccessfulDelete         cronjob/elasticsearch-im-infra                                     Deleted job elasticsearch-im-infra-27238605
40m         Normal    Scheduled                pod/fluentd-27drm                                                  Successfully assigned openshift-logging/fluentd-27drm to ocp-dgs4s-master-1
40m         Warning   FailedMount              pod/fluentd-27drm                                                  MountVolume.SetUp failed for volume "entrypoint" : failed to sync configmap cache: timed out waiting for the condition
40m         Warning   FailedMount              pod/fluentd-27drm                                                  MountVolume.SetUp failed for volume "config" : failed to sync configmap cache: timed out waiting for the condition
40m         Warning   FailedMount              pod/fluentd-27drm                                                  MountVolume.SetUp failed for volume "kube-api-access-9r75v" : failed to sync configmap cache: timed out waiting for the condition
10m         Warning   DNSConfigForming         pod/fluentd-27drm                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
40m         Normal    AddedInterface           pod/fluentd-27drm                                                  Add eth0 [10.130.0.47/23] from openshift-sdn
40m         Normal    Pulling                  pod/fluentd-27drm                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
39m         Normal    Pulled                   pod/fluentd-27drm                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 30.846573428s
37m         Normal    Created                  pod/fluentd-27drm                                                  Created container fluentd-init
37m         Normal    Started                  pod/fluentd-27drm                                                  Started container fluentd-init
37m         Normal    Pulled                   pod/fluentd-27drm                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
36m         Warning   BackOff                  pod/fluentd-27drm                                                  Back-off restarting failed container
7m58s       Normal    Scheduled                pod/fluentd-6sts9                                                  Successfully assigned openshift-logging/fluentd-6sts9 to ocp-dgs4s-master-1
35s         Warning   DNSConfigForming         pod/fluentd-6sts9                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
7m57s       Normal    AddedInterface           pod/fluentd-6sts9                                                  Add eth0 [10.130.0.48/23] from openshift-sdn
7m56s       Normal    Pulled                   pod/fluentd-6sts9                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m56s       Normal    Created                  pod/fluentd-6sts9                                                  Created container fluentd-init
7m56s       Normal    Started                  pod/fluentd-6sts9                                                  Started container fluentd-init
7m56s       Normal    Pulled                   pod/fluentd-6sts9                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m55s       Normal    Created                  pod/fluentd-6sts9                                                  Created container fluentd
7m55s       Normal    Started                  pod/fluentd-6sts9                                                  Started container fluentd
40m         Normal    Scheduled                pod/fluentd-84fg2                                                  Successfully assigned openshift-logging/fluentd-84fg2 to ocp-dgs4s-worker-a-gwqkh
10m         Warning   DNSConfigForming         pod/fluentd-84fg2                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
40m         Normal    AddedInterface           pod/fluentd-84fg2                                                  Add eth0 [10.128.2.16/23] from openshift-sdn
